t,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th
1800,-16,-14,0,-16,-13,0,-10,-16,0,-11,-16,0,-12,-16,0,-2,15,0,-1,15,0,0,15,0,1,15,0,2,15,0,3,15,0,4,15,0,5,15,0,6,15,0,7,15,0
1860,-16,-14,0,-16,-13,0,-10,-16,0,-11,-16,0,-12,-16,0,-8,-15,0,-9,-15,0,-10,-15,0,-11,-15,0,2,15,0,3,15,0,4,15,0,5,15,0,6,15,0,7,15,0
1920,-16,-14,0,-16,-13,0,-10,-16,0,-11,-16,0,-12,-16,0,-8,-15,0,-9,-15,0,-10,-15,0,-11,-15,0,2,15,0,3,15,0,4,15,0,5,15,0,6,15,0,7,15,0
1980,-16,-14,0,-16,-13,0,-10,-16,0,-11,-16,0,-12,-16,0,-8,-15,0,-9,-15,0,-10,-15,0,-11,-15,0,2,15,0,3,15,0,4,15,0,5,15,0,6,15,0,7,15,0
2040,-16,-14,0,-16,-13,0,-10,-16,0,-11,-16,0,-12,-16,0,-8,-15,0,-9,-15,0,-10,-15,0,-11,-15,0,2,15,0,3,15,0,4,15,0,5,15,0,6,15,0,7,15,0
2100,-16,-14,0,-16,-13,0,-10,-16,0,-11,-16,0,-12,-16,0,-8,-15,0,-9,-15,0,-10,-15,0,-11,-15,0,2,15,0,3,15,0,4,15,0,5,15,0,6,15,0,7,15,0
2160,-16,-14,0,-16,-13,0,-10,-16,0,-11,-16,0,-12,-16,0,-8,-15,0,-9,-15,0,-10,-15,0,-11,-15,0,2,15,0,3,15,0,4,15,0,5,15,0,6,15,0,7,15,0
2220,-16,-14,0,-16,-13,0,-10,-16,0,-11,-16,0,-12,-16,0,-8,-15,0,-9,-15,0,-10,-15,0,-11,-15,0,2,15,0,3,15,0,4,15,0,5,15,0,6,15,0,7,15,0
2280,-16,-14,0,-16,-13,0,-10,-16,0,-11,-16,0,-12,-16,0,-8,-15,0,-9,-15,0,-10,-15,0,-11,-15,0,2,15,0,3,15,0,4,15,0,5,15,0,6,15,0,7,15,0
2340,-16,-14,0,-16,-13,0,-10,-16,0,-11,-16,0,-12,-16,0,-8,-15,0,-9,-15,0,-10,-15,0,-11,-15,0,2,15,0,3,15,0,4,15,0,5,15,0,6,15,0,7,15,0
2400,-16,-14,0,-16,-13,0,-10,-16,0,-11,-16,0,-12,-16,0,-8,-15,0,-9,-15,0,-10,-15,0,-11,-15,0,2,15,0,3,15,0,4,15,0,5,15,0,6,15,0,7,15,0
2460,-16,-14,0,-16,-13,0,-10,-16,0,-11,-16,0,-12,-16,0,-8,-15,0,-9,-15,0,-10,-15,0,-11,-15,0,2,15,0,3,15,0,4,15,0,5,15,0,6,15,0,7,15,0
2520,-16,-14,0,-16,-13,0,-10,-16,0,-11,-16,0,-12,-16,0,-8,-15,0,-9,-15,0,-10,-15,0,-11,-15,0,2,15,0,3,15,0,4,15,0,5,15,0,6,15,0,7,15,0
