t,robot_0,robot_1,robot_2,robot_3,robot_4,robot_5,robot_6,robot_7,robot_8,robot_9,robot_10,robot_11,robot_12,robot_13,robot_14
1740,WS_1_1,WS_1_1,WS_2_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
1800,WS_1_1,WS_1_1,WS_2_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
1860,WS_1_1,WS_1_1,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
1920,WS_1_1,WS_1_1,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
1980,WS_1_1,WS_1_1,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
2040,WS_1_1,WS_1_1,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
2100,WS_1_1,WS_1_1,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
2160,WS_1_1,WS_1_1,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
2220,WS_1_1,WS_1_1,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
2280,WS_1_1,WS_1_1,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
2340,WS_1_1,WS_1_1,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
2400,WS_1_1,WS_1_1,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
2460,WS_1_1,WS_1_1,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
2520,WS_1_1,WS_1_1,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
2580,WS_1_1,WS_1_1,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
