_X,_Y,ID,LAYER,ENTITY
1.00000,8.50000,1,AB_POINT_LIST,LWPOLYLINE
1.00000,0.00000,1,AB_POINT_LIST,LWPOLYLINE
3.00000,0.00000,1,AB_POINT_LIST,LWPOLYLINE
3.00000,8.50000,1,AB_POINT_LIST,LWPOLYLINE
1.00000,8.50000,1,AB_POINT_LIST,LWPOLYLINE
1.00000,8.25000,2,AB_POINT_LIST,INSERT
1.00000,2.37500,3,AB_POINT_LIST,INSERT
1.00000,2.50000,4,AB_POINT_LIST,INSERT
1.00000,2.62500,5,AB_POINT_LIST,INSERT
1.00000,2.75000,6,AB_POINT_LIST,INSERT
1.00000,2.87500,7,AB_POINT_LIST,INSERT
1.00000,3.00000,8,AB_POINT_LIST,INSERT
1.00000,3.12500,9,AB_POINT_LIST,INSERT
1.00000,3.25000,10,AB_POINT_LIST,INSERT
1.00000,3.37500,11,AB_POINT_LIST,INSERT
1.00000,3.50000,12,AB_POINT_LIST,INSERT
1.00000,3.62500,13,AB_POINT_LIST,INSERT
1.00000,3.75000,14,AB_POINT_LIST,INSERT
1.00000,3.87500,15,AB_POINT_LIST,INSERT
1.00000,4.00000,16,AB_POINT_LIST,INSERT
1.00000,4.12500,17,AB_POINT_LIST,INSERT
1.00000,4.25000,18,AB_POINT_LIST,INSERT
1.00000,4.37500,19,AB_POINT_LIST,INSERT
1.00000,4.50000,20,AB_POINT_LIST,INSERT
1.00000,4.62500,21,AB_POINT_LIST,INSERT
1.00000,4.75000,22,AB_POINT_LIST,INSERT
1.00000,4.87500,23,AB_POINT_LIST,INSERT
1.00000,5.00000,24,AB_POINT_LIST,INSERT
1.00000,5.12500,25,AB_POINT_LIST,INSERT
1.00000,5.25000,26,AB_POINT_LIST,INSERT
1.00000,5.37500,27,AB_POINT_LIST,INSERT
1.00000,5.50000,28,AB_POINT_LIST,INSERT
1.00000,5.62500,29,AB_POINT_LIST,INSERT
1.00000,5.75000,30,AB_POINT_LIST,INSERT
1.00000,5.87500,31,AB_POINT_LIST,INSERT
1.00000,6.00000,32,AB_POINT_LIST,INSERT
1.00000,6.12500,33,AB_POINT_LIST,INSERT
1.00000,6.25000,34,AB_POINT_LIST,INSERT
1.00000,6.37500,35,AB_POINT_LIST,INSERT
1.00000,6.50000,36,AB_POINT_LIST,INSERT
1.00000,6.62500,37,AB_POINT_LIST,INSERT
1.00000,6.75000,38,AB_POINT_LIST,INSERT
1.00000,6.87500,39,AB_POINT_LIST,INSERT
1.00000,7.00000,40,AB_POINT_LIST,INSERT
1.00000,7.12500,41,AB_POINT_LIST,INSERT
1.00000,7.25000,42,AB_POINT_LIST,INSERT
1.00000,7.37500,43,AB_POINT_LIST,INSERT
1.00000,7.50000,44,AB_POINT_LIST,INSERT
1.00000,7.62500,45,AB_POINT_LIST,INSERT
1.00000,7.75000,46,AB_POINT_LIST,INSERT
1.00000,7.87500,47,AB_POINT_LIST,INSERT
1.00000,8.00000,48,AB_POINT_LIST,INSERT
1.00000,8.12500,49,AB_POINT_LIST,INSERT
1.00000,8.25000,50,AB_POINT_LIST,INSERT
120.90177,242.36482,51,COVER_HEM,LWPOLYLINE
141.80303,213.24169,51,COVER_HEM,LWPOLYLINE
176.48804,203.69809,51,COVER_HEM,LWPOLYLINE
210.41302,215.39261,51,COVER_HEM,LWPOLYLINE
246.09189,216.91766,51,COVER_HEM,LWPOLYLINE
282.00729,216.54648,51,COVER_HEM,LWPOLYLINE
317.59329,212.30362,51,COVER_HEM,LWPOLYLINE
352.13743,202.83728,51,COVER_HEM,LWPOLYLINE
384.89642,188.35428,51,COVER_HEM,LWPOLYLINE
415.22906,169.12221,51,COVER_HEM,LWPOLYLINE
446.53502,151.27703,51,COVER_HEM,LWPOLYLINE
482.10123,144.70229,51,COVER_HEM,LWPOLYLINE
517.83740,150.28842,51,COVER_HEM,LWPOLYLINE
549.70169,167.40407,51,COVER_HEM,LWPOLYLINE
574.08105,194.10277,51,COVER_HEM,LWPOLYLINE
589.24090,226.99254,51,COVER_HEM,LWPOLYLINE
594.60151,262.72317,51,COVER_HEM,LWPOLYLINE
587.03489,298.09273,51,COVER_HEM,LWPOLYLINE
567.50352,328.53587,51,COVER_HEM,LWPOLYLINE
538.54303,350.12973,51,COVER_HEM,LWPOLYLINE
504.87954,363.14126,51,COVER_HEM,LWPOLYLINE
472.70318,377.83418,51,COVER_HEM,LWPOLYLINE
457.07344,409.35737,51,COVER_HEM,LWPOLYLINE
436.92898,439.24263,51,COVER_HEM,LWPOLYLINE
406.96654,459.50055,51,COVER_HEM,LWPOLYLINE
371.60309,467.08726,51,COVER_HEM,LWPOLYLINE
335.96773,460.90236,51,COVER_HEM,LWPOLYLINE
305.59724,442.07125,51,COVER_HEM,LWPOLYLINE
274.15409,439.38406,51,COVER_HEM,LWPOLYLINE
239.78830,449.51652,51,COVER_HEM,LWPOLYLINE
203.62382,449.06181,51,COVER_HEM,LWPOLYLINE
169.20108,437.96450,51,COVER_HEM,LWPOLYLINE
139.58051,417.21122,51,COVER_HEM,LWPOLYLINE
117.39565,388.64713,51,COVER_HEM,LWPOLYLINE
104.62460,354.82689,51,COVER_HEM,LWPOLYLINE
101.95914,326.37695,51,COVER_HEM,LWPOLYLINE
106.00888,298.16719,51,COVER_HEM,LWPOLYLINE
113.43317,270.32403,51,COVER_HEM,LWPOLYLINE
120.90177,242.36482,51,COVER_HEM,LWPOLYLINE
586.09504,297.70575,52,STRAP_MARK,INSERT
114.39935,270.58189,53,STRAP_MARK,INSERT
246.07570,217.91788,54,STRAP_MARK,INSERT
317.78569,213.28776,55,STRAP_MARK,INSERT
446.88321,152.22961,56,STRAP_MARK,INSERT
482.11530,145.71663,57,STRAP_MARK,INSERT
549.07824,168.20432,58,STRAP_MARK,INSERT
573.23789,194.66240,59,STRAP_MARK,INSERT
593.58561,262.69175,60,STRAP_MARK,INSERT
102.96584,326.40170,61,STRAP_MARK,INSERT
566.76002,327.84287,62,STRAP_MARK,INSERT
456.20705,408.85358,63,STRAP_MARK,INSERT
436.20819,438.52285,64,STRAP_MARK,INSERT
406.56712,458.56349,65,STRAP_MARK,INSERT
371.58298,466.06882,66,STRAP_MARK,INSERT
336.32985,459.95026,67,STRAP_MARK,INSERT
239.65011,448.51471,68,STRAP_MARK,INSERT
203.78716,448.06378,69,STRAP_MARK,INSERT
169.65141,437.05900,70,STRAP_MARK,INSERT
140.27781,416.47875,71,STRAP_MARK,INSERT
118.27791,388.15281,72,STRAP_MARK,INSERT
105.60768,354.59957,73,STRAP_MARK,INSERT
106.52410,298.11011,74,ALIGNMENT_LINE_MARK,LINE
108.77410,298.11011,74,ALIGNMENT_LINE_MARK,LINE
586.51000,298.11011,75,ALIGNMENT_LINE_MARK,LINE
584.26000,298.11011,75,ALIGNMENT_LINE_MARK,LINE
106.02410,298.11011,76,ALIGNMENT_LINE,INSERT
587.01000,298.11011,77,ALIGNMENT_LINE,INSERT
587.01000,298.11011,78,ALIGNMENT_LINE,LINE
106.02410,298.11011,78,ALIGNMENT_LINE,LINE
209.94537,138.89156,79,AB_REFERENCE_LINE,LWPOLYLINE
455.04548,101.07704,79,AB_REFERENCE_LINE,LWPOLYLINE
265.57472,238.39722,80,AB_POINT_MARKER,INSERT
305.63641,235.53123,81,AB_POINT_MARKER,INSERT
341.18316,228.65593,82,AB_POINT_MARKER,INSERT
378.65405,214.80193,83,AB_POINT_MARKER,INSERT
407.91607,199.36142,84,AB_POINT_MARKER,INSERT
433.95656,181.35317,85,AB_POINT_MARKER,INSERT
454.96878,170.07700,86,AB_POINT_MARKER,INSERT
480.56502,166.25950,87,AB_POINT_MARKER,INSERT
506.44302,168.77706,88,AB_POINT_MARKER,INSERT
530.53016,178.31733,89,AB_POINT_MARKER,INSERT
547.49414,193.89000,90,AB_POINT_MARKER,INSERT
563.81944,219.77509,91,AB_POINT_MARKER,INSERT
572.70884,245.13027,92,AB_POINT_MARKER,INSERT
572.04610,275.46413,93,AB_POINT_MARKER,INSERT
563.80040,298.04751,94,AB_POINT_MARKER,INSERT
546.41527,319.75617,95,AB_POINT_MARKER,INSERT
523.53114,335.26866,96,AB_POINT_MARKER,INSERT
486.28696,347.10137,97,AB_POINT_MARKER,INSERT
475.98712,352.20539,98,AB_POINT_MARKER,INSERT
462.51409,358.96892,99,AB_POINT_MARKER,INSERT
448.58474,374.00058,100,AB_POINT_MARKER,INSERT
440.31421,395.70900,101,AB_POINT_MARKER,INSERT
427.81104,417.90868,102,AB_POINT_MARKER,INSERT
414.35131,431.58118,103,AB_POINT_MARKER,INSERT
393.72829,442.61650,104,AB_POINT_MARKER,INSERT
371.34792,446.06939,105,AB_POINT_MARKER,INSERT
348.42487,442.83141,106,AB_POINT_MARKER,INSERT
330.04311,433.34110,107,AB_POINT_MARKER,INSERT
311.33243,419.11409,108,AB_POINT_MARKER,INSERT
293.16246,412.51706,109,AB_POINT_MARKER,INSERT
269.18014,418.69013,110,AB_POINT_MARKER,INSERT
242.98190,425.99709,111,AB_POINT_MARKER,INSERT
217.09501,428.80341,112,AB_POINT_MARKER,INSERT
194.62836,425.48254,113,AB_POINT_MARKER,INSERT
172.27704,414.32775,114,AB_POINT_MARKER,INSERT
150.02417,397.02805,115,AB_POINT_MARKER,INSERT
135.92388,378.72863,116,AB_POINT_MARKER,INSERT
127.89218,358.03369,117,AB_POINT_MARKER,INSERT
125.36120,331.10373,118,AB_POINT_MARKER,INSERT
129.17715,304.21698,119,AB_POINT_MARKER,INSERT
138.45486,278.67034,120,AB_POINT_MARKER,INSERT
139.79135,255.40085,121,AB_POINT_MARKER,INSERT
143.65572,242.49987,122,AB_POINT_MARKER,INSERT
157.15195,228.49544,123,AB_POINT_MARKER,INSERT
177.42971,224.95393,124,AB_POINT_MARKER,INSERT
195.00821,231.69717,125,AB_POINT_MARKER,INSERT
210.18940,236.89126,126,AB_POINT_MARKER,INSERT
233.47328,237.11293,127,AB_POINT_MARKER,INSERT
332.49543,119.98430,128,AB_REFERENCE_LINE,INSERT
455.04548,101.07704,129,AB_REFERENCE_LINE,INSERT
209.94537,138.89156,130,AB_REFERENCE_LINE,INSERT
296.38296,440.94065,131,STANDARD_PATCH,INSERT
318.35994,409.41160,132,STANDARD_PATCH_MARK,LINE
318.67527,409.02357,132,STANDARD_PATCH_MARK,LINE
318.67527,409.02357,133,STANDARD_PATCH_MARK,LINE
318.28724,408.70824,133,STANDARD_PATCH_MARK,LINE
291.12502,386.63531,134,STANDARD_PATCH_MARK,LINE
290.73699,386.31999,134,STANDARD_PATCH_MARK,LINE
290.73699,386.31999,135,STANDARD_PATCH_MARK,LINE
290.42166,386.70802,135,STANDARD_PATCH_MARK,LINE
268.34874,413.87023,136,STANDARD_PATCH_MARK,LINE
268.03341,414.25826,136,STANDARD_PATCH_MARK,LINE
268.03341,414.25826,137,STANDARD_PATCH_MARK,LINE
268.42144,414.57359,137,STANDARD_PATCH_MARK,LINE
296.28701,436.57381,138,STANDARD_PATCH_MARK,LINE
295.97169,436.96185,138,STANDARD_PATCH_MARK,LINE
295.97169,436.96185,139,STANDARD_PATCH_MARK,LINE
295.58366,436.64652,139,STANDARD_PATCH_MARK,LINE
492.64500,361.91185,140,STANDARD_PATCH,INSERT
471.33215,329.93013,141,STANDARD_PATCH_MARK,LINE
471.08624,329.49477,141,STANDARD_PATCH_MARK,LINE
471.08624,329.49477,142,STANDARD_PATCH_MARK,LINE
470.65089,329.74068,142,STANDARD_PATCH_MARK,LINE
440.17621,346.95387,143,STANDARD_PATCH_MARK,LINE
439.74086,347.19977,143,STANDARD_PATCH_MARK,LINE
439.74086,347.19977,144,STANDARD_PATCH_MARK,LINE
439.98676,347.63513,144,STANDARD_PATCH_MARK,LINE
457.19996,378.10980,145,STANDARD_PATCH_MARK,LINE
457.44586,378.54516,145,STANDARD_PATCH_MARK,LINE
457.44586,378.54516,146,STANDARD_PATCH_MARK,LINE
457.88121,378.29925,146,STANDARD_PATCH_MARK,LINE
488.54534,360.40480,147,STANDARD_PATCH_MARK,LINE
488.79124,360.84016,147,STANDARD_PATCH_MARK,LINE
488.79124,360.84016,148,STANDARD_PATCH_MARK,LINE
488.35589,361.08606,148,STANDARD_PATCH_MARK,LINE
