_X,_Y,ID,TEXTSTRING
1005.89059,528.00000,1,A
626.10941,528.00000,2,B
983.64059,526.00000,3,717651_1
962.36269,591.57929,4,1
890.36269,603.37593,5,2
818.36269,595.58171,6,3
746.36269,612.66168,7,4
674.36269,604.78678,8,5
666.36269,606.29042,9,6
517.27776,236.94455,10,A
1117.27672,238.06225,11,B
2.38235,8.31250,12,A
2.79412,8.31250,13,B
2.08824,8.31250,14,#
1.08824,8.31250,15,#
1.79412,8.31250,16,B
1.38235,8.31250,17,A
2.00000,8.43750,18,A & B DISTANCES AS ENTERED
1012.71457,528.00000,19,A
619.28543,528.00000,20,B
