x,y,theta
-1.0,0.75,0.0
-0.9717171717171718,0.75,0.0
-0.9434343434343434,0.75,0.0
-0.9151515151515152,0.75,0.0
-0.8868686868686869,0.75,0.0
-0.8585858585858586,0.75,0.0
-0.8303030303030303,0.75,0.0
-0.8020202020202021,0.75,0.0
-0.7737373737373737,0.75,0.0
-0.7454545454545455,0.75,0.0
-0.7171717171717171,0.75,0.0
-0.6888888888888889,0.75,0.0
-0.6606060606060606,0.75,0.0
-0.6323232323232324,0.75,0.0
-0.604040404040404,0.75,0.0
-0.5757575757575758,0.75,0.0
-0.5474747474747474,0.75,0.0
-0.5191919191919192,0.75,0.0
-0.49090909090909096,0.75,0.0
-0.4626262626262626,0.75,0.0
-0.43434343434343436,0.75,0.0
-0.4060606060606061,0.75,0.0
-0.37777777777777777,0.75,0.0
-0.3494949494949495,0.75,0.0
-0.3212121212121213,0.75,0.0
-0.29292929292929293,0.75,0.0
-0.2646464646464647,0.75,0.0
-0.23636363636363644,0.75,0.0
-0.2080808080808081,0.75,0.0
-0.17979797979797985,0.75,0.0
-0.1515151515151516,0.75,0.0
-0.12323232323232325,0.75,0.0
-0.094949494949495,0.75,0.0
-0.06666666666666676,0.75,0.0
-0.03838383838383841,0.75,0.0
-0.010101010101010166,0.75,0.0
0.018181818181818077,0.75,0.0
0.04646464646464632,0.75,0.0
0.07474747474747478,0.75,0.0
0.10303030303030303,0.75,0.0
0.13131313131313127,0.75,0.0
0.1595959595959595,0.75,0.0
0.18787878787878776,0.75,0.0
0.216161616161616,0.75,0.0
0.24444444444444446,0.75,0.0
0.2727272727272727,0.75,0.0
0.30101010101010095,0.75,0.0
0.3292929292929292,0.75,0.0
0.35757575757575744,0.75,0.0
0.3858585858585857,0.75,0.0
0.41414141414141414,0.75,0.0
0.4424242424242424,0.75,0.0
0.47070707070707063,0.75,0.0
0.4989898989898989,0.75,0.0
0.5272727272727271,0.75,0.0
0.5555555555555554,0.75,0.0
0.5838383838383838,0.75,0.0
0.6121212121212121,0.75,0.0
0.6404040404040403,0.75,0.0
0.6686868686868686,0.75,0.0
0.6969696969696968,0.75,0.0
0.725252525252525,0.75,0.0
0.7535353535353535,0.75,0.0
0.7818181818181817,0.75,0.0
0.81010101010101,0.75,0.0
0.8383838383838382,0.75,0.0
0.8666666666666665,0.75,0.0
0.8949494949494949,0.75,0.0
0.9232323232323232,0.75,0.0
0.9515151515151514,0.75,0.0
0.9797979797979797,0.75,0.0
1.0080808080808081,0.75,0.0
1.0363636363636362,0.75,0.0
1.0646464646464646,0.75,0.0
1.0929292929292926,0.75,0.0
1.121212121212121,0.75,0.0
1.1494949494949496,0.75,0.0
1.1777777777777776,0.75,0.0
1.206060606060606,0.75,0.0
1.234343434343434,0.75,0.0
1.2626262626262625,0.75,0.0
1.2909090909090906,0.75,0.0
1.319191919191919,0.75,0.0
1.3474747474747475,0.75,0.0
1.3757575757575755,0.75,0.0
1.404040404040404,0.75,0.0
1.432323232323232,0.75,0.0
1.4606060606060605,0.75,0.0
1.488888888888889,0.75,0.0
1.517171717171717,0.75,0.0
1.5454545454545454,0.75,0.0
1.5737373737373734,0.75,0.0
1.602020202020202,0.75,0.0
1.63030303030303,0.75,0.0
1.6585858585858584,0.75,0.0
1.6868686868686869,0.75,0.0
1.7151515151515149,0.75,0.0
1.7434343434343433,0.75,0.0
1.7717171717171714,0.75,0.0
1.7999999999999998,0.75,0.0
