x,y,theta
0.6748556019261299,1.1684207484746174,0.969786062942581
0.6396548022230863,1.2039888431396337,1.0238962492734283
0.6028780891928357,1.2379243266192472,1.0785098180747692
0.5645203796522145,1.2700612259138304,1.133555284587696
0.5245876123327974,1.3002177321459247,1.1889205236967175
0.48310717951008036,1.328206352218932,1.244456802849105
0.4401366748160206,1.3538477622996488,1.299986325272263
0.3957682209957663,1.3769855710069452,1.3553269610570702
0.3501268617954764,1.3974983422961278,1.4103078870389094
0.3033679185651435,1.4153180039822357,1.4648357876672087
0.255711012975362,1.4305772151142062,1.5194115366730916
0.20730704125876218,1.4432682252361304,1.5742186068756316
0.15828637579762683,1.4533163832882807,1.6291747315360245
0.1087889500473511,1.4606639396123624,1.6841816415712643
0.058962046607942714,1.4652746981596856,1.7391324535968415
0.008956869684307993,1.4671366242001167,1.7939204678183973
-0.04107543147191361,1.4662618954998883,1.848448015804892
-0.09098751285118907,1.462684492537145,1.9026363383127274
-0.14063477907572106,1.4564273641334766,1.9566515170154588
-0.18986874999031175,1.4474822048519913,2.010766505138198
-0.2385444086324718,1.4358769257755088,2.0649307866370856
-0.2865216547280084,1.4216574674064322,2.119080611575982
-0.33366743025803036,1.404885604588498,2.1731542890012427
-0.3798398948757845,1.3855961038174358,2.2272115288456735
-0.42487149521828,1.363775604246211,2.2814279132144595
-0.46863584498162225,1.3395129547599034,2.3357219126946624
-0.5110257623235623,1.3129213869750294,2.3899951916905042
-0.5519520251528001,1.2841276176434113,2.44415698574094
-0.5912623921560748,1.2531668318819025,2.4983204604018425
-0.6284387889765466,1.2196769535808152,2.553213171414356
-0.6631615529844539,1.1836505949753886,2.6089731443315927
-0.6951603445615648,1.1451853341404106,2.6655840402298105
-0.7241999995634889,1.1044402700990086,2.7229760531159037
-0.7498996493942484,1.0615165813940606,2.781191319174474
-0.770992656188344,1.0161618792315588,2.840796252196549
-0.7861922154445065,0.9685208797324025,2.9019300144998432
-0.7938456553113694,0.9191242062072954,2.96440075039612
-0.7919774754839558,0.8692033478342311,3.027288801730835
-0.7791313914062052,0.820935955647472,3.0886628663245252
-0.7602973644082439,0.7745828411015158,-3.1343246311580018
-0.7379934935812109,0.7297951727054256,-3.07456384225466
-0.7124590519114559,0.6867663587687621,-3.015254507016647
-0.6827288439237418,0.6466220646748391,-2.9578127246087043
-0.6421281219620595,0.6177707742901467,-2.9143803169037814
-0.5947914024103221,0.6019053052004444,-2.8888810141990087
-0.545198738122621,0.5955500764258431,-2.8777867307679994
-0.49517175759624216,0.5952285242362624,-2.8772323747129764
-0.4451944754219444,0.5978302102510822,-2.8827787912784517
-0.3952249930527404,0.6005862263773601,-2.889343581140837
-0.34525297790195386,0.6032958148076853,-2.8966701505224375
-0.29527404918920674,0.6058744070187458,-2.9047308905459293
-0.24528467365148704,0.6082412949951348,-2.9134979660857017
-0.19528271081232756,0.610323407365354,-2.9229441441423507
-0.14547034902298406,0.6145974929613303,-2.9548101259830517
-0.09620539560853646,0.6234497480280321,-3.0235345242917395
-0.0464792418963138,0.628983813866389,-3.092817674957957
0.0035933062826279862,0.6301583380469736,3.1289439314824374
0.05363789329249583,0.6300932366792489,3.1241218195774856
0.10367962641600423,0.6295254441047569,3.1171942666328096
0.1537002974488793,0.6279854300146831,3.105360092398863
0.2036630047758079,0.6251378867630736,3.089505322832391
0.2535116336991855,0.6207286280721477,3.0702765940795924
0.3031735168246032,0.6145653957186156,3.0481495289249914
0.3524902111174979,0.6061226355573983,3.0224231228745904
0.400991233634888,0.5937882131571202,2.989787925994097
0.4495472761846956,0.58167228815636,2.9612226024138097
0.4984885737562087,0.5712454465306681,2.9392293886830405
0.5481265223448053,0.5651340637546184,2.927416346061622
0.5978042623051906,0.5693131281939243,2.9345708364336476
